NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
14260,14260,14260,BSB RMM EXPRESS ,VARANASI JN    ,21:15,RAMESWARAM     ,01:15
14265,14265,14265,BSB DDN EXP     ,VARANASI JN    ,08:30,DEHRADUN       ,06:35
14266,14266,14266,DDN BSB EXPRESS ,DEHRADUN       ,18:20,VARANASI JN    ,15:45
14307,14307,14307,PRG BE EXPRESS  ,PRAYAG         ,22:15,BAREILLY       ,11:15
14309,14309,14309,UJJAINI EXPRESS ,UJJAIN JN      ,15:00,DEHRADUN       ,19:05
14310,14310,14310,UJJAIYANI EXP   ,DEHRADUN       ,05:50,UJJAIN JN      ,09:05
14311,14311,14311,ALA HAZRAT EXP  ,BAREILLY       ,06:05,BHUJ           ,14:00
14312,14312,14312,ALA HAZRAT EXP  ,BHUJ           ,12:25,BAREILLY       ,20:25
14313,14313,14313,BAREILLY EXP    ,LOKMANYATILAK T,08:05,BAREILLY       ,15:40
14314,14314,14314,BE LTT EXPRESS  ,BAREILLY       ,10:45,LOKMANYATILAK T,20:00
14315,14315,14315,INTERCITY EXP   ,BAREILLY       ,04:50,NEW DELHI      ,10:05
14316,14316,14316,INTERCITY EXP   ,NEW DELHI      ,16:35,BAREILLY       ,21:50
14317,14317,14317,IND DDN EXPRESS ,INDORE JN BG   ,15:00,DEHRADUN       ,19:05
14318,14318,14318,DDN INDB EXP    ,DEHRADUN       ,05:50,INDORE JN BG   ,06:40
14321,14321,14321,BE BHUJ EXP     ,BAREILLY       ,06:05,BHUJ           ,10:15
14322,14322,14322,BAREILLY EXPRESS,BHUJ           ,16:15,BAREILLY       ,20:25
14323,14323,14323,NDLS ROK EXP    ,NEW DELHI      ,10:35,ROHTAK JN      ,12:45
14324,14324,14324,ROK NDLS EXP    ,ROHTAK JN      ,14:15,NEW DELHI      ,16:00
14369,14369,14369,TRIBENI EXPRESS ,SINGRAULI      ,18:25,BAREILLY       ,12:35
14370,14370,14370,TRIVENI EXP     ,BAREILLY       ,12:05,SINGRAULI      ,07:30
14501,14501,14501,BTI JAT EXP     ,BHATINDA JN    ,21:05,JAMMU TAWI     ,07:15
14502,14502,14502,JAT BTI EXP     ,JAMMU TAWI     ,23:25,BHATINDA JN    ,10:20
14511,14511,14511,NAUCHANDI EXP   ,ALLAHABAD JN   ,17:40,SAHARANPUR     ,11:50
14512,14512,14512,NAUCHANDI EXP   ,SAHARANPUR     ,16:45,ALLAHABAD JN   ,09:55
14519,14519,14519,KISAN EXPRESS   ,DELHI          ,14:55,BHATINDA JN    ,22:20
14520,14520,14520,KISAN EXPRESS   ,BHATINDA JN    ,06:50,DELHI          ,14:15
14521,14521,14521,DLI UMB EXP     ,DELHI          ,13:10,AMBALA CANT JN ,19:10
14522,14522,14522,UMB DLI  EXP    ,AMBALA CANT JN ,05:40,DELHI          ,11:40
14523,14523,14523,HARIHARNATH EXP ,MUZAFFARPUR JN ,07:25,AMBALA CANT JN ,07:55
14524,14524,14524,UMB MFP EXPRESS ,AMBALA CANT JN ,22:45,MUZAFFARPUR JN ,23:50
14525,14525,14525,SGNR INTERCITY  ,AMBALA CANT JN ,05:15,SHRI GANGANAGAR,12:00
14526,14526,14526,UMB INTERCITY   ,SHRI GANGANAGAR,14:15,AMBALA CANT JN ,20:55
14553,14553,14553,HIMACHAL EXP    ,DELHI          ,22:55,AMB  ANDAURA   ,08:35
14554,14554,14554,HIMACHAL EXPRESS,AMB  ANDAURA   ,20:10,DELHI          ,05:30
14555,14555,14555,BAREILLY DLI EX ,BAREILLY       ,14:30,DELHI          ,21:20
14556,14556,14556,BAREILLY EXP    ,DELHI          ,06:05,BAREILLY       ,13:15
14605,14605,14605,GARIB RATH EXP  ,LAL KUAN       ,23:15,AMRITSAR JN    ,14:45
14606,14606,14606,GARIB RATH EXP  ,AMRITSAR JN    ,05:55,LAL KUAN       ,20:50
14609,14609,14609,HEMKUNT EXP     ,RISHIKESH      ,16:20,JAMMU TAWI     ,04:30
14610,14610,14610,HEMKUNT EXP     ,JAMMU TAWI     ,18:35,RISHIKESH      ,08:00
14625,14625,14625,FZR INTERCITY   ,DELHI S ROHILLA,06:45,FIROZPUR CANT  ,14:45
14626,14626,14626,DEE INTERCITY   ,FIROZPUR CANT  ,04:30,DELHI S ROHILLA,11:40
14631,14631,14631,DDN ASR EXPRESS ,DEHRADUN       ,19:45,AMRITSAR JN    ,07:30
14632,14632,14632,ASR DDN EXPRESS ,AMRITSAR JN    ,22:15,DEHRADUN       ,10:15
14645,14645,14645,SHALIMAR EXP    ,DELHI          ,15:50,JAMMU TAWI     ,05:15
14646,14646,14646,SHALIMAR EXP    ,JAMMU TAWI     ,20:45,DELHI          ,10:55
14649,14649,14649,SARYU YAMUNA EXP,JAYNAGAR       ,06:30,AMRITSAR JN    ,23:25
14650,14650,14650,SARYUYAMUNA EXP ,AMRITSAR JN    ,11:55,JAYNAGAR       ,01:30
14659,14659,14659,DLI JSM EXPRESS ,DELHI          ,17:30,JAISALMER      ,11:15
14660,14660,14660,JSM DLI EXPRESS ,JAISALMER      ,17:15,DELHI          ,11:10
14662,14662,14662,MALANI EXP      ,BARMER         ,18:00,DELHI          ,11:10
14673,14673,14673,SHAHEED EXPRESS ,JAYNAGAR       ,06:30,AMRITSAR JN    ,23:25
14674,14674,14674,SHAHEED EXP     ,AMRITSAR JN    ,11:55,JAYNAGAR       ,01:30
14681,14681,14681,NDLS JUC EXPRES ,NEW DELHI      ,14:45,JALANDHAR CITY ,23:50
14682,14682,14682,JUC NDLS EXPRES ,JALANDHAR CITY ,04:10,NEW DELHI      ,12:50
14705,14705,14705,DEE SUJH EXP    ,DELHI S ROHILLA,07:05,SUJANGARH      ,13:50
14706,14706,14706,SUJH DEE EXP    ,SUJANGARH      ,15:00,DELHI S ROHILLA,22:10
14707,14707,14707,RANAKPUR EXPRES ,BIKANER JN     ,09:30,BANDRA TERMINUS,09:40
14708,14708,14708,RANAKPUR EXPRES ,BANDRA TERMINUS,15:05,BIKANER JN     ,15:35
14709,14709,14709,BKN PURI EXP    ,BIKANER JN     ,16:40,PURI           ,10:15
14710,14710,14710,PURI BKN EXPRESS,PURI           ,05:30,BIKANER JN     ,22:30
14711,14711,14711,RKSH SGNR EXP   ,RISHIKESH      ,15:00,SHRI GANGANAGAR,02:30
14712,14712,14712,SGNR RKSH EXP   ,SHRI GANGANAGAR,04:10,RISHIKESH      ,14:30
14723,14723,14723,KALINDI EXPRESS ,KANPUR CENTRAL ,17:05,BHIWANI        ,09:40
14724,14724,14724,KALINDI EXPRESS ,BHIWANI        ,18:25,KANPUR CENTRAL ,11:10
14731,14731,14731,DLI FKA EXP     ,DELHI          ,14:15,FAZILKA        ,01:05
14732,14732,14732,FKA DLI EXP     ,FAZILKA        ,02:00,DELHI          ,12:45
14801,14801,14801,JU GIMB EXP     ,JODHPUR JN     ,20:45,GANDHIDHAM BG  ,06:35
14802,14802,14802,JODHPUR EXPRESS ,GANDHIDHAM BG  ,20:30,JODHPUR JN     ,06:10
14803,14803,14803,BGKT ADI EXPRESS,BHAGAT KI KOTHI,09:45,AHMEDABAD JN   ,20:00
14804,14804,14804,ADI BGKT EXPRESS,AHMEDABAD JN   ,21:00,BHAGAT KI KOTHI,07:10
14805,14805,14805,BARMER AC EXP   ,YESVANTPUR JN  ,10:45,BARMER         ,08:00
14806,14806,14806,BME YPR AC EXP  ,BARMER         ,01:00,YESVANTPUR JN  ,03:15
14807,14807,14807,JP AWR EXP      ,JAIPUR         ,09:55,ALWAR          ,13:00
14808,14808,14808,AWR JP EXP      ,ALWAR          ,14:25,JAIPUR         ,17:55
14809,14809,14809,JSM JU EXPRESS  ,JAISALMER      ,23:30,JODHPUR JN     ,05:20
14810,14810,14810,JU JSM EXPRESS  ,JODHPUR JN     ,23:45,JAISALMER      ,05:30
14853,14853,14853,MARUDHAR EXPRES ,VARANASI JN    ,17:20,JODHPUR JN     ,17:50
14854,14854,14854,MARUDHAR EXPRES ,JODHPUR JN     ,09:45,VARANASI JN    ,10:30
14863,14863,14863,MARUDHAR EXPRES ,VARANASI JN    ,18:15,JODHPUR JN     ,17:50
14864,14864,14864,MARUDHAR EXPRES ,JODHPUR JN     ,09:45,VARANASI JN    ,08:35
14865,14865,14865,MARUDHAR EXPRES ,VARANASI JN    ,18:15,JODHPUR JN     ,17:50
14866,14866,14866,MARUDHAR EXPRES ,JODHPUR JN     ,09:45,VARANASI JN    ,09:30
14887,14887,14887,KLK BME EXPRESS ,KALKA          ,21:30,BARMER         ,20:00
14888,14888,14888,BARMER  KLK EXP ,BARMER         ,06:45,KALKA          ,05:50
14889,14889,14889,JU MBF LINK EXP ,BHAGAT KI KOTHI,01:00,MUNABAO        ,07:00
15001,15001,15001,MFP DDN EXP     ,MUZAFFARPUR JN ,14:00,DEHRADUN       ,14:00
15002,15002,15002,DDN MFP EXP     ,DEHRADUN       ,15:30,MUZAFFARPUR JN ,16:10
15003,15003,15003,CHAURICHAURAEXP ,KANPUR ANWRGANJ,16:45,GORAKHPUR JN   ,06:55
15004,15004,15004,CHAURICHAURAEXP ,GORAKHPUR JN   ,22:30,KANPUR ANWRGANJ,12:05
15005,15005,15005,GKP DDN EXPRESS ,GORAKHPUR JN   ,21:10,DEHRADUN       ,14:00
15006,15006,15006,DDN GKP EXP     ,DEHRADUN       ,15:30,GORAKHPUR JN   ,07:55
15007,15007,15007,MUV LJN EXPRESS ,MANDUADIH      ,16:40,LUCKNOW NE     ,05:45
15008,15008,15008,LJN MUV EXP     ,LUCKNOW NE     ,23:05,MANDUADIH      ,13:05
15009,15009,15009,CHITRAKUT  EXP  ,LUCKNOW NE     ,17:30,JABALPUR       ,07:15
15010,15010,15010,CHITRAKUT EXP   ,JABALPUR       ,20:40,LUCKNOW NE     ,09:30
15011,15011,15011,LJN CDG EXPRESS ,LUCKNOW NE     ,22:55,CHANDIGARH     ,14:50
15012,15012,15012,CDG LJN EXPRESS ,CHANDIGARH     ,17:05,LUCKNOW NE     ,09:10
15013,15013,15013,RANIKHET EXP    ,BHAGAT KI KOTHI,06:30,KATHGODAM      ,05:05
15014,15014,15014,RANIKHET EXP    ,KATHGODAM      ,20:40,BHAGAT KI KOTHI,18:20
15015,15015,15015,GKP YPR EXPRESS ,GORAKHPUR JN   ,06:35,YESVANTPUR JN  ,09:45
15016,15016,15016,YPR GORAKPUR EXP,YESVANTPUR JN  ,07:40,GORAKHPUR JN   ,14:00
15017,15017,15017,GORAKHPUR EXP   ,LOKMANYATILAK T,06:35,GORAKHPUR JN   ,19:10
15018,15018,15018,GKP LTT EXP     ,GORAKHPUR JN   ,05:30,LOKMANYATILAK T,18:40
15021,15021,15021,SHM GKP EXPRESS ,SHALIMAR       ,20:25,GORAKHPUR JN   ,16:20
15022,15022,15022,GKP SHM EXPRESS ,GORAKHPUR JN   ,13:30,SHALIMAR       ,10:05
15023,15023,15023,GKP YPR EXP     ,GORAKHPUR JN   ,08:45,YESVANTPUR JN  ,11:15
15024,15024,15024,YPR GKP EXP     ,YESVANTPUR JN  ,23:40,GORAKHPUR JN   ,05:00
15025,15025,15025,MAU ANVT EXPRESS,MAU JN         ,10:45,ANAND VIHAR TRM,06:30
15026,15026,15026,ANVT MAU EXP    ,ANAND VIHAR TRM,13:00,MAU JN         ,06:30
15027,15027,15027,MAURYA EXP      ,HATIA          ,17:05,GORAKHPUR JN   ,17:20
15028,15028,15028,MAURYA EXPRESS  ,GORAKHPUR JN   ,07:25,HATIA          ,08:10
15033,15033,15033,HW RMR EXP      ,HARIDWAR JN    ,18:30,RAMNAGAR       ,23:35
15034,15034,15034,RMR HW EXP      ,RAMNAGAR       ,08:35,HARIDWAR JN    ,14:15
15035,15035,15035,UTR SAMPRK K EX ,DELHI          ,16:00,KATHGODAM      ,22:40
15036,15036,15036,UTR SAMPRK K EX ,KATHGODAM      ,08:50,DELHI          ,15:20
15045,15045,15045,GKP OKHA EXPRES ,GORAKHPUR JN   ,04:10,OKHA           ,04:20
15046,15046,15046,GORAKHPUR EXP   ,OKHA           ,19:15,GORAKHPUR JN   ,20:00
15047,15047,15047,PURBANCHAL EXP  ,KOLKATA        ,14:30,GORAKHPUR JN   ,07:45
15048,15048,15048,PURVANCHAL EXP  ,GORAKHPUR JN   ,11:30,KOLKATA        ,04:25
15049,15049,15049,KOAA  GKP  EXP  ,KOLKATA        ,14:30,GORAKHPUR JN   ,09:40
15050,15050,15050,GKP KOLKATA EXP ,GORAKHPUR JN   ,08:00,KOLKATA        ,04:25
15051,15051,15051,KOAA GKP EXP    ,KOLKATA        ,14:30,GORAKHPUR JN   ,08:10
15052,15052,15052,GKP KOLKATA EXP ,GORAKHPUR JN   ,10:10,KOLKATA        ,04:25
15097,15097,15097,AMARNATH EXP    ,BHAGALPUR      ,23:50,JAMMU TAWI     ,12:30
15098,15098,15098,AMARNATH EXP    ,JAMMU TAWI     ,22:45,BHAGALPUR      ,10:00
15103,15103,15103,MUV INTERCITY   ,GORAKHPUR JN   ,16:00,MANDUADIH      ,21:45
15104,15104,15104,GKP INTERCITY   ,MANDUADIH      ,05:25,GORAKHPUR JN   ,11:10
15107,15107,15107,CPR MTJ EXPRESS ,CHHAPRA        ,05:00,MATHURA JN     ,21:55
15108,15108,15108,MTJ CPR EXPRESS ,MATHURA JN     ,23:15,CHHAPRA        ,17:05
15109,15109,15109,BUDH PURNIMA EXP,RAJGIR         ,23:30,VARANASI JN    ,08:40
15110,15110,15110,BUDHPURNIMA EXP ,VARANASI JN    ,20:35,RAJGIR         ,05:05
15111,15111,15111,MUV  INTERCITY  ,CHHAPRA        ,04:00,MANDUADIH      ,09:25
15112,15112,15112,CPR INTERCITY   ,MANDUADIH      ,17:25,CHHAPRA        ,22:45
15115,15115,15115,CPR DLI EXP     ,CHHAPRA        ,11:15,DELHI          ,11:15
15116,15116,15116,DLI CPR EXP     ,DELHI          ,13:40,CHHAPRA        ,13:20
15117,15117,15117,MFP G EXP       ,MUZAFFARPUR JN ,11:50,GONDIA JN      ,18:50
15159,15159,15159,SARNATH EXPRESS ,CHHAPRA        ,07:20,DURG           ,07:30
15160,15160,15160,SARNATH EXPRESS ,DURG           ,20:25,CHHAPRA        ,21:40
15203,15203,15203,BJU LJN EXP     ,BARAUNI JN     ,20:30,LUCKNOW NE     ,13:00
15204,15204,15204,LJN BJU EXP     ,LUCKNOW NE     ,15:00,BARAUNI JN     ,08:30
15227,15227,15227,MUZAFFARPUR EXP ,YESVANTPUR JN  ,23:55,MUZAFFARPUR JN ,04:00
15228,15228,15228,MFP YPR EXP     ,MUZAFFARPUR JN ,07:25,YESVANTPUR JN  ,11:20
15231,15231,15231,MFP G EXP       ,MUZAFFARPUR JN ,11:50,GONDIA JN      ,18:50
15232,15232,15232,GONDIA MFP EXP  ,GONDIA JN      ,21:00,MUZAFFARPUR JN ,05:00
15233,15233,15233,KOAA DBG EXP    ,KOLKATA        ,10:40,DARBHANGA JN   ,22:25
15234,15234,15234,DBG KOAA EXPRESS,DARBHANGA JN   ,15:50,KOLKATA        ,03:10
15235,15235,15235,HWH DBG EXPRESS ,HOWRAH JN      ,11:05,DARBHANGA JN   ,22:25
15236,15236,15236,DBG HWH EXPRESS ,DARBHANGA JN   ,15:50,HOWRAH JN      ,03:00
15273,15273,15273,SATYAGRAH EXP   ,RAXAUL JN      ,09:05,DELHI          ,09:20
15274,15274,15274,SATYAGRAH EXP   ,DELHI          ,17:15,RAXAUL JN      ,16:45
15279,15279,15279,POORBIYA EXP    ,SAHARSA JN     ,11:00,ADRSH NGR DELHI,14:15
15280,15280,15280,POORABIYA EXP   ,ADRSH NGR DELHI,15:40,SAHARSA JN     ,18:50
15281,15281,15281,KOSHI EXP       ,SAHARSA JN     ,05:00,PATNA JN       ,10:25
15282,15282,15282,KOSHI EXP       ,PATNA JN       ,16:55,SAHARSA JN     ,22:30
15307,15307,15307,NAINITAL EXP    ,BAREILLY       ,21:35,AISHBAGH       ,06:55
15308,15308,15308,NAINITAL EXP    ,AISHBAGH       ,20:25,BAREILLY       ,05:30
15315,15315,15315,GOKUL EXP       ,GONDA JN       ,19:55,BAREILLY       ,06:10
15316,15316,15316,GOKUL EXPRESS   ,BAREILLY       ,20:40,GONDA JN       ,07:45
15469,15469,15469,INTERCITY EXP   ,ALIPUR DUAR JN ,04:00,LUMDING JN     ,14:00
15470,15470,15470,INTERCITY EXP   ,LUMDING JN     ,15:00,ALIPUR DUAR JN ,00:40
15471,15471,15471,INTERCITY EXP   ,ALIPUR DUAR JN ,05:05,KAMAKHYA       ,11:55
15472,15472,15472,INTERCITY EXP   ,KAMAKHYA       ,16:30,ALIPUR DUAR JN ,22:50
15483,15483,15483,MAHANANDA EXP   ,ALIPUR DUAR JN ,07:15,DELHI          ,18:10
15484,15484,15484,MAHANANDA EXP   ,DELHI          ,06:40,ALIPUR DUAR JN ,18:00
15603,15603,15603,INTER CITY EXP  ,KAMAKHYA       ,19:45,LEDO           ,10:00
15604,15604,15604,INTERCITY  EXP  ,LEDO           ,15:15,KAMAKHYA       ,05:10
15605,15605,15605,JTTN INTERCITY  ,KAMAKHYA       ,19:45,MARIANI JN     ,07:30
15606,15606,15606,GHY INTERCITY   ,MARIANI JN     ,18:15,KAMAKHYA       ,05:10
15609,15609,15609,ABADH ASSAM EXP ,GUWAHATI       ,22:00,LALGARH JN     ,05:45
15610,15610,15610,AVADH ASSAM EXP ,LALGARH JN     ,19:45,GUWAHATI       ,03:00
15611,15611,15611,KARMABHOOMI EXP ,LOKMANYATILAK T,11:25,KAMAKHYA       ,19:15
15612,15612,15612,KARMABHOOMI EXP ,KAMAKHYA       ,18:45,LOKMANYATILAK T,23:15
15615,15615,15615,INTERCITY EXP   ,KAMAKHYA       ,16:00,DEKARGAON      ,21:15
15616,15616,15616,INTERCITY EXP   ,DEKARGAON      ,05:00,KAMAKHYA       ,10:00
15619,15619,15619,GAYA KYQ WKLY EX,GAYA JN        ,13:00,KAMAKHYA       ,12:30
15620,15620,15620,KYQ GYA WKLY EXP,KAMAKHYA       ,07:00,GAYA JN        ,05:35
15621,15621,15621,KYQ ANVT EXPRESS,KAMAKHYA       ,06:10,ANAND VIHAR TRM,17:35
15622,15622,15622,ANVT KYQ EXPRESS,ANAND VIHAR TRM,23:45,KAMAKHYA       ,14:45
15629,15629,15629,GUWAHATI EXPRESS,CHENNAI EGMORE ,22:30,GUWAHATI       ,04:55
15630,15630,15630,GUWAHATI MS EXP ,GUWAHATI       ,15:00,CHENNAI EGMORE ,20:15
15631,15631,15631,BME GHY EXPRESS ,BARMER         ,22:45,GUWAHATI       ,23:35
15632,15632,15632,GHY BME BKN EXP ,GUWAHATI       ,10:45,BARMER         ,09:00
15635,15635,15635,GUWAHATI EXPRES ,OKHA           ,11:25,GUWAHATI       ,07:05
15636,15636,15636,DWARKA  EXPRESS ,GUWAHATI       ,10:45,OKHA           ,04:20
15639,15639,15639,PURI GHY EXPRESS,PURI           ,13:45,GUWAHATI       ,22:10
15640,15640,15640,GHY PURI EXPRESS,GUWAHATI       ,18:45,PURI           ,03:20
15643,15643,15643,PURI KYQ EXPRESS,PURI           ,22:15,KAMAKHYA       ,04:20
15644,15644,15644,KYQ PURI EXPRESS,KAMAKHYA       ,23:45,PURI           ,07:45
15645,15645,15645,GUWAHATI EXPRES ,LOKMANYATILAK T,08:05,GUWAHATI       ,11:30
15646,15646,15646,GHY LTT EXP     ,GUWAHATI       ,16:45,LOKMANYATILAK T,20:00
15647,15647,15647,GUWAHATI EXPRES ,LOKMANYATILAK T,08:05,GUWAHATI       ,13:00
15648,15648,15648,GHY LTT EXPRESS ,GUWAHATI       ,15:00,LOKMANYATILAK T,20:00
15651,15651,15651,LOHIT EXPRESS   ,GUWAHATI       ,13:15,JAMMU TAWI     ,12:30
15652,15652,15652,LOHIT EXPRESS   ,JAMMU TAWI     ,22:45,GUWAHATI       ,23:10
15653,15653,15653,AMARNATH EXPRESS,GUWAHATI       ,13:15,JAMMU TAWI     ,12:30
15654,15654,15654,JAMMU GHY EXPRES,JAMMU TAWI     ,22:45,GUWAHATI       ,23:10
15657,15657,15657,KANCHANJANGA EXP,SEALDAH        ,06:35,GUWAHATI       ,04:30
15658,15658,15658,KANCHANJUNGA EX ,GUWAHATI       ,22:30,SEALDAH        ,19:25
15661,15661,15661,RNC  KYQ EXPRES ,RANCHI         ,20:40,KAMAKHYA       ,22:00
15662,15662,15662,KYQ RNC EXPRESS ,KAMAKHYA       ,12:30,RANCHI         ,14:15
15665,15665,15665,B  G  EXPRESS   ,KAMAKHYA       ,13:45,DIMAPUR        ,19:50
15666,15666,15666,B G EXPRESS     ,DIMAPUR        ,21:45,KAMAKHYA       ,04:00
15667,15667,15667,KAMAKHYA EXPRESS,GANDHIDHAM BG  ,13:15,KAMAKHYA       ,06:00
15668,15668,15668,KYQ GIMB EXPRES ,KAMAKHYA       ,11:00,GANDHIDHAM BG  ,04:00
15669,15669,15669,NAGALAND EXPRESS,KAMAKHYA       ,23:10,DIMAPUR        ,05:10
15670,15670,15670,NAGALAND EXPRESS,DIMAPUR        ,06:30,KAMAKHYA       ,12:00
15691,15691,15691,CACHAR EXPRESS  ,LUMDING JN     ,20:15,SILCHAR        ,08:15
15692,15692,15692,CACHAR EXPRESS  ,SILCHAR        ,19:15,LUMDING JN     ,06:55
15693,15693,15693,BARAK VALLEY EX ,LUMDING JN     ,04:25,SILCHAR        ,17:45
15694,15694,15694,BARAK VALLEY EXP,SILCHAR        ,09:45,LUMDING JN     ,22:25
15695,15695,15695,LMG AGTL EXPRESS,LUMDING JN     ,21:30,AGARTALA       ,15:30
15696,15696,15696,AGTL LMG EXPRESS,AGARTALA       ,16:15,LUMDING JN     ,11:15
15707,15707,15707,KIR ASR EXPRESS ,KATIHAR JN     ,23:30,AMRITSAR JN    ,12:30
15708,15708,15708,ASR KIR EXPRESS ,AMRITSAR JN    ,07:15,KATIHAR JN     ,20:10
15711,15711,15711,HWH KIR EXPRESS ,HOWRAH JN      ,21:55,KATIHAR JN     ,06:45
15712,15712,15712,KIR HWH EXPRESS ,KATIHAR JN     ,22:30,HOWRAH JN      ,07:20
15713,15713,15713,INTERCITY EXP   ,KATIHAR JN     ,06:15,PATNA JN       ,12:40
15714,15714,15714,INTERCITY EXP   ,PATNA JN       ,14:15,KATIHAR JN     ,21:40
15715,15715,15715,GARIB NAWAJ EXP ,KISHANGANJ     ,06:05,AJMER JN       ,21:30
15716,15716,15716,GARIB NAWAJ EXP ,AJMER JN       ,11:05,KISHANGANJ     ,03:15
15719,15719,15719,INTERCITY       ,KATIHAR JN     ,06:20,SILIGURI JN    ,11:00
15720,15720,15720,INTERCITY       ,SILIGURI JN    ,16:45,KATIHAR JN     ,22:05
15721,15721,15721,PAHARIA EXPRESS ,DIGHA FLAG STN ,16:30,NEW JALPAIGURI ,08:45
15722,15722,15722,PAHARIA EXPRESS ,NEW JALPAIGURI ,21:15,DIGHA FLAG STN ,12:00
15723,15723,15723,NJP SMI EXPRESS ,NEW JALPAIGURI ,22:15,SITAMARHI      ,10:30
15724,15724,15724,SMI NJP EXPRESS ,SITAMARHI      ,16:45,NEW JALPAIGURI ,05:50
15813,15813,15813,ARUNACHAL EXP   ,RANGIYA JN     ,19:20,MURKEONGSELEK  ,08:30
15814,15814,15814,ARUNACHAL EXP   ,DHEMAJI        ,18:40,RANGIYA JN     ,05:05
15817,15817,15817,DBB SHTT RR EXP ,DHUBRI         ,21:00,SILGHAT TOWN   ,10:05
15818,15818,15818,SHTT DBB RR EXP ,SILGHAT TOWN   ,16:35,DHUBRI         ,05:00
15901,15901,15901,DIBRUGARH EXP   ,BANGALORE CY JN,23:55,DIBRUGARH      ,20:20
15902,15902,15902,DBRG SBC EXPRESS,DIBRUGARH      ,18:30,BANGALORE CY JN,11:50
15903,15903,15903,DBRG CDG EXPRESS,DIBRUGARH      ,08:40,CHANDIGARH     ,13:10
15904,15904,15904,CDG DBRG EXPRESS,CHANDIGARH     ,23:15,DIBRUGARH      ,06:15
15905,15905,15905,DBRG  VIVEK EXP ,KANYAKUMARI    ,14:45,DIBRUGARH      ,03:30
15906,15906,15906,VIVEK EXPRESS   ,DIBRUGARH      ,23:45,KANYAKUMARI    ,10:00
15910,15910,15910,AVADH ASSAM EXP ,LALGARH JN     ,19:45,NEW TINSUKIA JN,15:00
15927,15927,15927,RNY DBRG EXPRESS,RANGIYA JN     ,05:45,DIBRUGARH      ,18:15
15928,15928,15928,DBRG RNY EXPRESS,DIBRUGARH      ,06:00,RANGIYA JN     ,18:25
15929,15929,15929,DIBRUGARH EXP   ,CHENNAI EGMORE ,22:30,DIBRUGARH      ,18:00
15930,15930,15930,DBRG MS EXPRESS ,DIBRUGARH      ,23:45,CHENNAI EGMORE ,20:15
15933,15933,15933,DBRG ASR EXPRES ,DIBRUGARH      ,07:00,AMRITSAR JN    ,21:00
15934,15934,15934,ASR DBRG EXPRESS,AMRITSAR JN    ,15:50,DIBRUGARH      ,04:25
15941,15941,15941,JHAJHA DBRG EXP ,JHAJHA         ,22:05,DIBRUGARH      ,10:30
15942,15942,15942,DBRG JHAJHA EXP ,DIBRUGARH      ,06:35,JHAJHA         ,17:50
15959,15959,15959,KAMRUP EXPRESS  ,HOWRAH JN      ,17:35,DIBRUGARH      ,05:45
15960,15960,15960,KAMRUP EXPRESS  ,DIBRUGARH      ,18:25,HOWRAH JN      ,05:45
16001,16001,16001,PALANI EXPRESS  ,CHENNAI CENTRAL,21:00,PALANI         ,08:00
16002,16002,16002,PALANI MAS EXP  ,PALANI         ,18:00,CHENNAI CENTRAL,04:50
16003,16003,16003,MAS NSL EXPRESS ,CHENNAI CENTRAL,09:15,NAGARSOL       ,11:55
16004,16004,16004,NSL MAS WKLY EXP,NAGARSOL       ,13:30,CHENNAI CENTRAL,16:15
16021,16021,16021,KAVERI  EXPRESS ,CHENNAI CENTRAL,21:30,MYSORE JN      ,07:00
16022,16022,16022,KAVERI EXPRESS  ,MYSORE JN      ,20:30,CHENNAI CENTRAL,07:25
16031,16031,16031,ANDAMAN EXPRESS ,CHENNAI CENTRAL,05:15,JAMMU TAWI     ,13:10
16032,16032,16032,ANDAMAN EXPRESS ,JAMMU TAWI     ,23:45,CHENNAI CENTRAL,10:10
16041,16041,16041,ALLEPPEY EXP    ,CHENNAI CENTRAL,20:45,ALLEPPEY       ,10:45
16042,16042,16042,CHENNAI EXPRESS ,ALLEPPEY       ,16:00,CHENNAI CENTRAL,06:45
16053,16053,16053,TIRUPATHI EXP   ,CHENNAI CENTRAL,14:10,TIRUPATI       ,17:40
16054,16054,16054,MADRAS EXPRESS  ,TIRUPATI       ,10:10,CHENNAI CENTRAL,13:40
16057,16057,16057,SAPTHAGIRI EXP  ,CHENNAI CENTRAL,06:25,TIRUPATI       ,09:40
16058,16058,16058,SAPTAGIRI EXP   ,TIRUPATI       ,17:55,CHENNAI CENTRAL,21:35
16093,16093,16093,LUCKNOW EXP     ,CHENNAI CENTRAL,05:15,LUCKNOW NR     ,20:35
16094,16094,16094,LJN  MAS EXP    ,LUCKNOW NE     ,16:20,CHENNAI CENTRAL,10:10
16101,16101,16101,RAMESWARAM EXP  ,CHENNAI EGMORE ,21:40,RAMESWARAM     ,11:45
16102,16102,16102,CHENNAI EXPRESS ,RAMESWARAM     ,17:00,CHENNAI EGMORE ,06:30
16105,16105,16105,TIRUCHENDUR EXP ,CHENNAI EGMORE ,16:05,TIRUCHENDUR    ,08:25
16106,16106,16106,TCN CHENNAI EXP ,TIRUCHENDUR    ,19:15,CHENNAI EGMORE ,11:40
16125,16125,16125,MS JODHPUR EXP  ,CHENNAI EGMORE ,15:15,JODHPUR JN     ,11:00
